number,values_0,values_1,values_2,datetime_start,datetime_complete,duration,params_colsample,params_depth,params_leaves,params_lr,params_min_child,params_n,params_reg_alpha,params_reg_lambda,params_subsample,system_attrs_NSGAIISampler:generation,state
81,5.18140292928069,0.9433594951407924,-41.18903385104366,2026-04-18 15:31:44.978187,2026-04-18 15:31:47.688686,0 days 00:00:02.710499,0.7423890714605046,7,138,0.07378778708706622,19,377,0.27423140893587533,1.3475391688833286e-08,0.6181785521365831,1,COMPLETE
82,5.430463350355565,0.9390957349562056,-41.33520322999621,2026-04-18 15:31:47.688951,2026-04-18 15:31:48.509298,0 days 00:00:00.820347,0.8809936335948436,4,134,0.14270774024443011,77,359,1.7195719847367482e-05,4.388606059101698e-06,0.8788062963981071,1,COMPLETE
83,21.534493583484398,0.4478468124300033,-10.884961695229505,2026-04-18 15:31:48.509700,2026-04-18 15:31:49.525912,0 days 00:00:01.016212,0.7546941385202149,5,104,0.001717044659935762,25,213,4.9368087974032924e-05,1.7285760734977495e-07,0.8763750952409863,1,COMPLETE
84,5.52665777431029,0.9369895713093292,-41.289760198746926,2026-04-18 15:31:49.526216,2026-04-18 15:31:50.874737,0 days 00:00:01.348521,0.9801645936306235,5,55,0.14028710807204534,96,498,4.611431184204183,5.642953223871804e-08,0.9944004255291483,1,COMPLETE
85,8.205061997564853,0.8979074332499117,-34.84255596779728,2026-04-18 15:31:50.874987,2026-04-18 15:31:52.153360,0 days 00:00:01.278373,0.637469907131237,8,131,0.005106219018733596,69,425,2.0391173859019014e-05,2.4368079851853013e-06,0.8273234413341887,1,COMPLETE
86,5.382159109250594,0.9393621699578526,-41.461393345515475,2026-04-18 15:31:52.153685,2026-04-18 15:31:53.304463,0 days 00:00:01.150778,0.9166316174903394,6,125,0.02371021185795433,71,370,1.1256839212661599e-06,6.619953325728894e-08,0.7272013899887455,1,COMPLETE
87,17.157975977407585,0.6461802021384554,-18.866001293702663,2026-04-18 15:31:53.304747,2026-04-18 15:31:54.260253,0 days 00:00:00.955506,0.9561055135563665,5,60,0.0023817878481417814,67,299,0.9658611176861268,0.0001778010520878397,0.6181216039088178,1,COMPLETE
88,5.326879401901668,0.9408797016843664,-41.332127898080955,2026-04-18 15:31:54.260543,2026-04-18 15:31:55.203354,0 days 00:00:00.942811,0.710952473192453,6,138,0.08886694893516042,66,328,4.932765131967249e-07,0.06308995924905789,0.9630265895704372,1,COMPLETE
89,10.9523580056069,0.8457370222436864,-29.461595602839147,2026-04-18 15:31:55.203628,2026-04-18 15:31:56.528806,0 days 00:00:01.325178,0.9268888800804863,6,134,0.005523209354840282,33,246,0.0009926755025313784,6.619953325728894e-08,0.8639936184136716,1,COMPLETE
90,6.280868220413238,0.9249317606716627,-38.982222517452186,2026-04-18 15:31:56.529077,2026-04-18 15:31:56.911017,0 days 00:00:00.381940,0.689707723784224,3,91,0.020002529412259395,72,180,0.025681062756497588,0.28749982347407854,0.7301321323053057,1,COMPLETE
91,5.410905427279586,0.9402726313644949,-41.187271223317204,2026-04-18 15:31:56.911317,2026-04-18 15:31:57.591842,0 days 00:00:00.680525,0.6143769095186968,10,126,0.053915976081982384,96,269,2.434087969048871e-05,0.0007652471350809116,0.8313120563984696,1,COMPLETE
92,5.4859327167241645,0.9388696664264831,-41.14545455842577,2026-04-18 15:31:57.592120,2026-04-18 15:31:58.230145,0 days 00:00:00.638025,0.6143769095186968,5,69,0.053915976081982384,95,184,0.0001550180120475692,0.0034281912357116743,0.8784119186699892,1,COMPLETE
93,6.444974446646492,0.9292557909956702,-37.665538179782295,2026-04-18 15:31:58.230420,2026-04-18 15:32:02.449235,0 days 00:00:04.218815,0.8912865394447438,10,108,0.011616996897195595,14,221,2.7678419414850017e-06,0.28749982347407854,0.6950550175969599,1,COMPLETE
94,9.897501069125719,0.8649408502349951,-32.27093288151488,2026-04-18 15:32:02.449547,2026-04-18 15:32:03.586359,0 days 00:00:01.136812,0.7396838298450643,3,137,0.0033596393259423033,67,549,0.03416654859330391,1.1857478328321251,0.7356119164194803,1,COMPLETE
95,16.753124964309684,0.6612461328411788,-19.59914818139604,2026-04-18 15:32:03.586641,2026-04-18 15:32:04.259797,0 days 00:00:00.673156,0.7396838298450643,3,137,0.0023817878481417814,67,332,0.03416654859330391,0.00033746312759494907,0.7356119164194803,1,COMPLETE
96,5.0576971278963185,0.9458837259502779,-41.277875894284094,2026-04-18 15:32:04.260066,2026-04-18 15:32:06.245418,0 days 00:00:01.985352,0.7554709158757928,6,118,0.020002529412259395,19,476,2.7678419414850017e-06,7.593577142680321e-06,0.7301321323053057,1,COMPLETE
97,9.09712875193174,0.8829610765302597,-33.24892066830318,2026-04-18 15:32:06.245691,2026-04-18 15:32:07.047001,0 days 00:00:00.801310,0.6137554084460873,3,77,0.004601160263509295,21,442,1.527156759251193,2.133142332373004e-06,0.798070764044508,1,COMPLETE
98,20.516904479953677,0.4983147864443362,-12.996637543595222,2026-04-18 15:32:07.047299,2026-04-18 15:32:08.231236,0 days 00:00:01.183937,0.7413408912104211,10,108,0.001028055665573648,80,454,1.1036250149900698e-07,0.001790214237193581,0.6296178606936361,1,COMPLETE
